arm,time,status,age_mean,age_sd,sex_prop
comparator,3.1,1,0.49,1.03,0.52
comparator,5.6,0,0.49,1.03,0.52
comparator,8.2,1,0.49,1.03,0.52
comparator,2.4,1,0.49,1.03,0.52
comparator,11.7,1,0.49,1.03,0.52
comparator,6.3,0,0.49,1.03,0.52
comparator,4.8,1,0.49,1.03,0.52
comparator,14.1,0,0.49,1.03,0.52
comparator,1.8,1,0.49,1.03,0.52
comparator,9.5,1,0.49,1.03,0.52
comparator,7.2,0,0.49,1.03,0.52
comparator,13.0,1,0.49,1.03,0.52
comparator,3.9,1,0.49,1.03,0.52
comparator,10.4,1,0.49,1.03,0.52
comparator,5.1,0,0.49,1.03,0.52
comparator,16.8,1,0.49,1.03,0.52
comparator,2.9,1,0.49,1.03,0.52
comparator,8.7,0,0.49,1.03,0.52
comparator,6.0,1,0.49,1.03,0.52
comparator,12.3,1,0.49,1.03,0.52
comparator,4.4,0,0.49,1.03,0.52
comparator,15.5,1,0.49,1.03,0.52
comparator,7.8,1,0.49,1.03,0.52
comparator,3.3,1,0.49,1.03,0.52
comparator,10.9,0,0.49,1.03,0.52
